Date,Open Price,High Price,Low Price,Close Price,Average Price=(O+H+L+C)/4,Volume,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,ET_net_sentiment_score,Indian_sentiment_score,foreign_sentiment_score
01-01-2019,362,364.85,356.5,363.65,360.4057745,257616,2876,92846294,62539,24.28,8.35,1.65,0.203521312,-0.030833716,-0.29801612
02-01-2019,362.65,367.95,360.45,364.35,364.835458,716589,6478,261437076,166081,23.18,7.5,1.7,-0.223469639,-0.146076209,-0.207853236
03-01-2019,365,367.35,362,363.25,364.9502839,589568,6121,215163009,183276,31.09,5.35,-1.75,-0.219989155,-0.134124379,-0.341154207
04-01-2019,361.5,368.55,358.05,365.55,363.2245008,714180,6950,259407674,148054,20.73,10.5,4.05,-0.223529978,-0.145481711,-0.089196881
07-01-2019,368.3,370.9,366.55,367.5,368.927287,578260,4429,213335893,115412,19.96,4.35,-0.8,-0.223721478,-0.146384701,-0.342405123
08-01-2019,367.9,381.6,366.75,380.2,375.5535526,1032984,11301,387940811,348141,33.7,14.85,12.3,0.221471435,-0.024442434,-0.323215007
09-01-2019,382.1,383.35,375.9,382,381.0417235,1057917,7594,403110517,329764,31.17,7.45,-0.1,-0.199439598,-0.146001456,-0.339991387
10-01-2019,380.1,382.1,376.2,379.7,379.2428628,443205,5654,168082333,119366,26.93,5.9,-0.4,-0.217752691,-0.145777854,-0.297742511
11-01-2019,380.8,381,375.25,378.55,377.6149734,941283,5319,355442555,519120,55.15,5.75,-2.25,-0.15071273,-0.138479392,-0.283039481
14-01-2019,378.4,378.4,372.7,373.4,374.2832904,557428,5706,208635986,255368,45.81,5.7,-5,-0.217460838,-0.142288737,-0.344943819
15-01-2019,374.9,375.35,370.45,372.55,372.1543158,4222659,7317,1571480771,3625641,85.86,4.9,-2.35,0.216243971,0.146370352,-0.324452587
16-01-2019,372.5,379.45,372.5,375.1,377.1021236,837191,4331,315706504,410984,49.09,6.95,2.6,-0.208533138,-0.105548689,-0.342400499
17-01-2019,376,377.95,372.6,373.35,374.2466569,3274921,7467,1225628236,2424612,74.04,5.35,-2.65,0.119419524,0.078138452,-0.325881814
18-01-2019,374.2,376.5,370.05,371.9,372.7570373,2567765,6052,957152474,1677335,65.32,6.45,-2.3,0,0,-0.328851357
21-01-2019,372,376.2,370.25,371.25,372.3719927,3200794,16602,1191886040,2582540,80.68,5.95,-0.75,0.136756608,0.089482434,-0.326065379
22-01-2019,369.1,372.5,366.15,369,367.9678458,1645475,6083,605481891,1113232,67.65,6.35,-0.1,-0.201601056,-0.131911382,-0.239153888
23-01-2019,369.7,373.5,366.4,367.65,370.3054939,257812,2403,95469200,59212,22.97,7.1,-2.05,-0.212997496,-0.105084731,-0.33744011
24-01-2019,365,368.45,361.7,365,365.5169058,1638200,5292,598789795,1058675,64.62,6.75,0,-0.089898381,-0.05882221,-0.247752266
25-01-2019,361.25,364.45,354.5,357.1,359.7401604,2252490,7457,810311114,1499428,66.57,9.95,-4.15,0.172355215,0.112775275,-0.339027905
28-01-2019,354.2,354.9,336.85,343.45,344.1329626,1647313,9025,566894703,386362,23.45,18.05,-10.75,-0.222866251,-0.125975608,-0.344294711
29-01-2019,344.85,350.5,341.6,346.9,344.8322815,693728,6898,239219809,106773,15.39,8.9,2.05,-0.022665284,-0.014830324,-0.329491145
30-01-2019,351,368.05,351,365.25,362.0851799,3349570,18448,1212829656,1197247,35.74,17.05,14.25,0.201162135,0.131624187,-0.340375597
31-01-2019,372.7,376.6,354.1,364.25,366.7790856,2786034,26523,1021859003,599495,21.52,22.5,-8.45,0.209986012,0.136178444,-0.336730093
01-02-2019,364,365.7,348.7,354.5,357.5654668,1192940,11958,426554148,206359,17.3,17,-9.5,-0.145234104,-0.095029419,0.174769191
04-02-2019,351.6,356.7,346,354.6,352.5738109,902313,7183,318131933,305933,33.91,10.7,3,-0.222520745,-0.138839484,-0.344956846
05-02-2019,354.95,355.5,348.9,352.35,351.9393489,418855,4042,147411556,72324,17.27,6.6,-2.6,-0.212961696,-0.120242912,-0.343781755
06-02-2019,353,361.5,353,358.9,358.7086527,600716,5232,215482027,108679,18.09,8.5,5.9,-0.038609869,-0.025263167,-0.244836967
07-02-2019,359,361.55,356.5,358.75,359.4969299,978317,8068,351701958,375992,38.43,5.05,-0.25,-0.096008322,-0.145164644,-0.065661851
08-02-2019,353.1,357.8,350.8,354.9,354.5610966,339569,5140,120397957,69360,20.43,7,1.8,-0.128508734,-0.084085694,-0.340185537
11-02-2019,355,355,348.6,349.3,350.7323945,1719251,7697,602997020,1022385,59.47,6.4,-5.7,-0.223595038,-0.146219754,-0.344956289
12-02-2019,349.85,352,343.25,344.45,348.6892839,977291,7385,340770899,602305,61.63,8.75,-5.4,0.07867624,0.051479351,-0.328624986
13-02-2019,345.8,347.1,339,340,340.8674113,1665957,7666,567870450,1342033,80.56,8.1,-5.8,0.197730896,0.129379063,-0.327504903
14-02-2019,340.7,346.5,336.25,343.1,342.6488528,2089201,8203,715862326,1154492,55.26,10.25,2.4,0.194158625,-0.080105116,-0.340297038
15-02-2019,344.35,347.7,340.55,342,343.2941736,1198588,7715,411468277,612333,51.09,7.15,-2.35,-0.223719294,-0.146383763,-0.34230567
18-02-2019,341.55,343.05,337.2,338.55,339.843793,938255,5272,318860138,582772,62.11,5.85,-3,-0.199672445,-0.146319159,-0.344950639
19-02-2019,340.3,350.4,339.85,343.35,345.9782883,806016,5959,278864036,164688,20.43,10.55,3.05,0.223115099,0.144498368,-0.329116546
20-02-2019,344.15,347.65,342.35,345.2,344.7284931,888843,4279,306409508,382822,43.07,5.3,1.05,0.22370458,0.146385606,-0.315134327
21-02-2019,346,354.7,346,350.4,351.3762451,1173477,9096,412331942,570097,48.58,8.7,4.4,0.223632806,0.146298724,-0.311345564
22-02-2019,351.95,353.95,351.4,351.75,352.1330069,784388,3997,276208905,463629,59.11,2.55,-0.2,-0.222158916,-0.146238769,0.186011248
25-02-2019,353.45,357.4,352.75,355.5,355.6100468,792990,5659,281995211,518604,65.4,4.65,2.05,0.154452144,0.106274924,-0.344956484
26-02-2019,352.1,352.5,346.8,348.1,349.5213746,1984065,5428,693473126,1378279,69.47,5.7,-4,0.030342881,0.019853921,-0.287773935
27-02-2019,350.55,354.6,343.35,345.8,347.1776219,1595231,6861,553828505,902659,56.58,11.25,-4.75,0.215022942,0.140693576,-0.343929162
28-02-2019,348.25,350.9,345,348.8,347.9156007,1140282,4559,396721897,715201,62.72,5.9,0.55,-0.200263466,-0.131036171,-0.168206193
01-03-2019,351.8,354.9,350.1,353.5,351.7259215,2973739,10713,1045941090,1772727,59.61,4.8,1.7,0.207683554,-0.039736274,-0.332850564
05-03-2019,355,363.35,352.85,362.35,357.2137325,1596215,8510,570189918,759874,47.6,10.5,7.35,-0.185207273,-0.141943163,-0.344956552
06-03-2019,364.15,372.65,364.15,371.6,370.3303456,2540748,18191,940916085,1272927,50.1,8.5,7.45,-0.209531687,-0.137100544,-0.319784245
07-03-2019,372,373.95,368.45,370.4,370.6526618,1104238,9591,409288754,486068,44.02,5.5,-1.6,0.161561148,0.138404204,-0.310160311
08-03-2019,370.4,373.2,367.75,370.15,371.0747136,1996572,4583,740877383,1560626,78.17,5.45,-0.25,0.2215734,0.144979664,-0.344098528
11-03-2019,370.8,378.2,370.15,375.9,375.8426558,1227627,4661,461394592,745849,60.76,8.05,5.1,0.20502626,0.145867529,-0.34490028
12-03-2019,378.5,389,377.15,388.2,385.7217288,3821305,13017,1473960371,2005683,52.49,11.85,9.7,-0.063885994,-0.041801814,-0.341865907
13-03-2019,384,393.15,384,391.85,388.9564517,1743996,11150,678338496,732248,41.99,9.15,7.85,-0.147932053,0.018691032,-0.326908875
14-03-2019,392,393,386.95,387.9,388.7831858,919995,6409,357678587,474553,51.58,6.05,-4.1,-0.211626869,-0.138471461,-0.339402139
15-03-2019,388.1,398.3,388.1,395.7,394.3565939,1665954,18547,656979945,674619,40.49,10.2,7.6,0.024114262,0.144382605,-0.340861411
18-03-2019,395.6,399.8,393.5,397.8,396.5392051,2570521,10340,1019312354,1917758,74.61,6.3,2.2,0.20591805,0.144554016,-0.343624895
19-03-2019,397.5,400.6,394,398.15,398.1325724,822026,5589,327275326,232268,28.26,6.6,0.65,-0.139803684,-0.094505978,-0.341763822
20-03-2019,398,398.15,392.4,393,393.8214563,1776349,6428,699564350,1198824,67.49,5.75,-5,0.129777668,0.084915982,-0.340703007
22-03-2019,394,396.1,390,391.6,392.3831328,974602,7534,382417386,460744,47.28,6.1,-2.4,-0.12383322,-0.122073675,-0.334838228
25-03-2019,388.9,388.9,382.6,383.5,384.1143434,894525,3841,343599883,561396,62.76,6.3,-5.4,-0.020489542,-0.013406695,-0.342270323
26-03-2019,384.25,395.15,383.65,394.05,388.6395989,1562759,4918,607350031,992998,63.54,11.5,9.8,0.163401649,0.106916787,-0.300102667
27-03-2019,395,397.9,389.6,393.3,393.0123834,1514605,8819,595258521,552111,36.45,8.3,-1.7,0,0,-0.334945506
28-03-2019,392.8,401.25,392.8,400,397.0693826,857103,5260,340329359,368827,43.03,8.45,7.2,-0.167294219,-0.019256649,-0.330104432
29-03-2019,401,402.7,395.15,398.85,398.3366011,910196,7269,362564381,280655,30.83,7.55,-2.15,0,0.138249757,-0.341453671
01-04-2019,402,409.3,396.7,398.75,404.6712912,1030529,12577,417025501,321314,31.18,12.6,-3.25,0.145151053,0.094975078,-0.344940701
02-04-2019,399,399.85,393.5,397.45,396.1914526,378663,4885,150023044,86742,22.91,6.35,-1.55,-0.162001437,-0.106000603,-0.285371015
03-04-2019,398,402.85,390.9,392.4,396.4370494,524888,5231,208085050,189170,36.04,11.95,-5.6,0,0,-0.328276057
04-04-2019,393.3,395.5,387.35,388.5,391.1114257,566566,5273,221590436,165669,29.24,8.15,-4.8,0,0,-0.343317691
05-04-2019,391.9,392.95,385.6,390.5,388.9665632,307924,3429,119772140,62038,20.15,7.35,-1.4,-0.167682025,-0.109717519,-0.203821484
08-04-2019,392,392,385.1,387.15,388.2554844,404741,2652,157142913,148799,36.76,6.9,-4.85,0,-0.108803416,-0.344923681
09-04-2019,387.1,398.35,387.1,396.9,393.3690136,706478,5277,277906554,144185,20.41,11.25,9.8,0,0,-0.339794085
10-04-2019,396.9,398.6,392.5,393.7,395.4704547,397441,3951,157176173,69178,17.41,6.1,-3.2,0,0,-0.335849653
11-04-2019,394.35,395,387.75,390.1,390.4229915,240071,2193,93729238,62857,26.18,7.25,-4.25,0,0,-0.316594791
12-04-2019,391.05,395.25,388.85,394.45,392.8238325,292483,2648,114894293,91961,31.44,6.4,3.4,0,0.101017068,-0.291695219
15-04-2019,394.9,396.9,391.5,392.75,394.1159938,4245329,9929,1673152058,130935,3.08,5.4,-2.15,0.160804534,0.105217446,-0.344927102
16-04-2019,396.6,408.5,396.6,406.8,404.7372158,1022196,11391,413720763,243283,23.8,11.9,10.2,0,0,-0.292353221
18-04-2019,408.6,410.65,402.55,404.9,406.8781665,703460,7235,286222515,155942,22.17,8.1,-3.7,0.213409184,0.139637663,-0.338054375
22-04-2019,404.3,404.3,393.2,394.6,397.7712111,329439,4131,131041350,101224,30.73,11.1,-9.7,0.127302491,-0.053169354,-0.344955966
23-04-2019,399.95,399.95,393.85,396.35,397.6570587,468255,4228,186204906,131719,28.13,6.1,-3.6,0.210050402,0.093494586,-0.252352986
24-04-2019,396.5,402.25,393,401.05,396.9900271,446111,3318,177101618,142593,31.96,9.25,4.55,-0.16623789,-0.108772594,-0.341165208
25-04-2019,401.9,402.25,394.3,395.35,398.825675,324744,5030,129516245,87248,26.87,7.95,-6.55,-0.022330452,-0.111565611,-0.341165208
26-04-2019,398.6,408.2,394.25,407.4,402.9251191,546628,5396,220250152,141165,25.82,13.95,8.8,0.147963184,-0.023858994,-0.328185266
30-04-2019,407.4,409.75,403.25,407.75,407.5218629,711549,8194,289971774,240017,33.73,6.5,0.35,-0.037388605,0.143604996,-0.344921514
02-05-2019,404.6,405.15,393.5,394.6,396.3608817,4038409,14657,1600667352,2809417,69.57,11.65,-10,-0.214633008,-0.140812137,-0.342883426
03-05-2019,397.45,405.25,394.75,401.85,400.391957,745592,5939,298529040,217252,29.14,10.5,4.4,-0.199217274,-0.14396026,-0.342540678
06-05-2019,398,404.85,394.45,401.4,401.0322177,835255,9645,334964165,184628,22.1,10.4,3.4,-0.157767479,-0.139317826,-0.344936347
07-05-2019,400.9,407.4,384,386.25,397.3665865,2015410,17482,800856592,378211,18.77,23.4,-14.65,-0.154359751,-0.145188856,0.159298843
08-05-2019,386,390.1,380.05,381.85,384.8577679,1092334,8271,420393225,368563,33.74,10.05,-4.15,-0.20513415,-0.144582308,-0.339513032
09-05-2019,382,385.6,377.5,381.45,382.3077044,662116,6749,253132048,159470,24.08,8.1,-0.55,-0.008388001,-0.13312479,-0.340825683
10-05-2019,384,389,382.35,384.8,385.7725915,577186,5302,222662539,111996,19.4,6.65,0.8,-0.038869863,-0.025433286,0.034543401
13-05-2019,386.8,386.8,375.05,376.2,380.3417246,512635,4858,194976480,123852,24.16,11.75,-10.6,-0.223719173,-0.146384166,-0.344551788
14-05-2019,377.6,387.55,376.55,380.8,384.4121137,2408607,12756,925897708,1086599,45.11,11,3.2,0.110805828,0.130340982,-0.342201441
15-05-2019,383.45,384.45,376,377.05,381.438731,618094,7982,235764991,215535,34.87,8.45,-6.4,-0.171639521,-0.112306983,-0.256972387
16-05-2019,379,385,377.5,381.8,381.1888603,645546,4587,246074944,373311,57.83,7.5,2.8,-0.221589248,-0.141417314,-0.256460253
17-05-2019,381.8,392.1,381.1,390.3,386.3646528,1500858,15384,579878480,690487,46.01,11,8.5,-0.223711754,-0.146384679,-0.337887081
